Date,HomeTeam,AwayTeam,FTHG,FTAG,HST,AST
07/11/2025,Watford,Bristol City,1,1,10,4
08/11/2025,Blackburn,Derby,1,2,3,4
08/11/2025,Hull,Portsmouth,3,2,4,5
08/11/2025,Millwall,Preston,1,1,4,6
08/11/2025,Middlesbrough,Birmingham,2,1,4,5
08/11/2025,Norwich,Leicester,1,2,3,7
08/11/2025,Sheffield United,QPR,0,0,3,4
08/11/2025,Southampton,Sheffield Weds,3,1,7,3
08/11/2025,Stoke,Coventry,0,1,2,3
08/11/2025,Swansea,Ipswich,1,4,4,4
08/11/2025,West Brom,Oxford,2,1,6,4
08/11/2025,Wrexham,Charlton,1,0,6,4
21/11/2025,Preston,Blackburn,1,2,4,6
22/11/2025,Bristol City,Swansea,3,0,8,5
22/11/2025,Charlton,Southampton,1,5,2,8
22/11/2025,Coventry,West Brom,3,2,11,5
22/11/2025,Birmingham,Norwich,4,1,6,7
22/11/2025,Derby,Watford,2,3,2,4
22/11/2025,Ipswich,Wrexham,0,0,8,0
22/11/2025,Leicester,Stoke,2,1,2,5
22/11/2025,Oxford,Middlesbrough,1,1,2,3
22/11/2025,Portsmouth,Millwall,3,1,7,2
22/11/2025,QPR,Hull,3,2,8,4
23/11/2025,Sheffield Weds,Sheffield United,0,3,0,7
25/11/2025,Hull,Ipswich,0,2,2,6
25/11/2025,Middlesbrough,Coventry,2,4,2,8
25/11/2025,Norwich,Oxford,1,1,6,4
25/11/2025,Stoke,Charlton,3,0,4,2
25/11/2025,Swansea,Derby,1,2,4,5
25/11/2025,Watford,Preston,1,1,5,3
25/11/2025,Southampton,Leicester,3,0,8,2
26/11/2025,Blackburn,QPR,0,1,1,3
26/11/2025,Millwall,Sheffield Weds,1,0,8,3
26/11/2025,Sheffield United,Portsmouth,3,0,5,2
26/11/2025,Wrexham,Bristol City,2,0,4,3
26/11/2025,West Brom,Birmingham,1,1,4,4
28/11/2025,Oxford,Ipswich,2,1,8,7
29/11/2025,Leicester,Sheffield United,2,3,3,3
29/11/2025,Portsmouth,Bristol City,0,1,2,5
29/11/2025,Stoke,Hull,1,2,7,6
29/11/2025,Coventry,Charlton,3,1,8,4
29/11/2025,Middlesbrough,Derby,2,1,4,1
29/11/2025,Millwall,Southampton,3,2,7,8
29/11/2025,Norwich,QPR,3,1,6,5
29/11/2025,Sheffield Weds,Preston,2,3,5,5
29/11/2025,West Brom,Swansea,3,2,10,2
29/11/2025,Wrexham,Blackburn,1,1,2,3
01/12/2025,Birmingham,Watford,2,1,5,4
02/12/2025,Blackburn,Ipswich,1,1,3,2
05/12/2025,Hull,Middlesbrough,1,4,2,5
06/12/2025,Derby,Leicester,1,3,5,4
06/12/2025,Watford,Norwich,3,2,6,4
06/12/2025,Bristol City,Millwall,0,1,3,6
06/12/2025,Ipswich,Coventry,3,0,6,5
06/12/2025,Preston,Wrexham,1,1,7,3
06/12/2025,QPR,West Brom,3,1,4,5
06/12/2025,Sheffield United,Stoke,4,0,8,1
