Date,HomeTeam,AwayTeam,FTHG,FTAG,HST,AST
09/08/2024,Blackburn,Derby,4,2,7,4
09/08/2024,Preston,Sheffield United,0,2,2,3
10/08/2024,Cardiff,Sunderland,0,2,4,4
10/08/2024,Hull,Bristol City,1,1,5,3
10/08/2024,Leeds,Portsmouth,3,3,10,4
10/08/2024,Middlesbrough,Swansea,1,0,4,0
10/08/2024,Millwall,Watford,2,3,4,5
10/08/2024,Oxford,Norwich,2,0,4,2
10/08/2024,QPR,West Brom,1,3,6,4
10/08/2024,Stoke,Coventry,1,0,2,1
11/08/2024,Sheffield Weds,Plymouth,4,0,11,1
12/08/2024,Luton,Burnley,1,4,3,6
16/08/2024,Coventry,Oxford,3,2,10,2
17/08/2024,Derby,Middlesbrough,1,0,2,4
17/08/2024,Portsmouth,Luton,0,0,6,4
17/08/2024,West Brom,Leeds,0,0,1,1
17/08/2024,Bristol City,Millwall,4,3,6,4
17/08/2024,Burnley,Cardiff,5,0,4,4
17/08/2024,Norwich,Blackburn,2,2,4,3
17/08/2024,Plymouth,Hull,1,1,7,2
17/08/2024,Sheffield United,QPR,2,2,3,3
17/08/2024,Swansea,Preston,3,0,6,2
17/08/2024,Watford,Stoke,3,0,8,3
18/08/2024,Sunderland,Sheffield Weds,4,0,6,3
23/08/2024,Sheffield Weds,Leeds,0,2,2,5
24/08/2024,Bristol City,Coventry,1,1,7,1
24/08/2024,Hull,Millwall,0,0,4,5
24/08/2024,QPR,Plymouth,1,1,10,1
24/08/2024,Blackburn,Oxford,2,1,4,3
24/08/2024,Middlesbrough,Portsmouth,2,2,7,3
24/08/2024,Norwich,Sheffield United,1,1,5,4
24/08/2024,Preston,Luton,1,0,2,4
24/08/2024,Stoke,West Brom,1,2,2,5
24/08/2024,Sunderland,Burnley,1,0,3,1
24/08/2024,Watford,Derby,2,1,3,3
25/08/2024,Swansea,Cardiff,1,1,4,3
30/08/2024,Luton,QPR,1,2,5,4
31/08/2024,Burnley,Blackburn,1,1,3,3
31/08/2024,Cardiff,Middlesbrough,0,2,3,5
31/08/2024,Coventry,Norwich,0,1,5,1
31/08/2024,Derby,Bristol City,3,0,7,5
31/08/2024,Leeds,Hull,2,0,5,2
31/08/2024,Millwall,Sheffield Weds,3,0,4,1
31/08/2024,Oxford,Preston,3,1,5,4
31/08/2024,Plymouth,Stoke,0,1,7,7
31/08/2024,Portsmouth,Sunderland,1,3,2,4
31/08/2024,West Brom,Swansea,1,0,5,2
01/09/2024,Sheffield United,Watford,1,0,7,1
13/09/2024,Hull,Sheffield United,0,2,2,4
14/09/2024,Leeds,Burnley,0,1,4,3
14/09/2024,Millwall,Luton,0,1,3,6
14/09/2024,Oxford,Stoke,1,0,8,1
14/09/2024,Blackburn,Bristol City,3,0,3,2
14/09/2024,Derby,Cardiff,1,0,3,3
14/09/2024,Middlesbrough,Preston,1,1,6,2
14/09/2024,Plymouth,Sunderland,3,2,6,7
14/09/2024,Sheffield Weds,QPR,1,1,2,4
14/09/2024,Swansea,Norwich,1,0,4,3
14/09/2024,Watford,Coventry,1,1,6,5
15/09/2024,Portsmouth,West Brom,0,3,0,7
20/09/2024,Stoke,Hull,1,3,2,3
21/09/2024,Norwich,Watford,4,1,8,3
21/09/2024,QPR,Millwall,1,1,2,5
21/09/2024,Sunderland,Middlesbrough,1,0,2,1
21/09/2024,Bristol City,Oxford,2,1,6,2
21/09/2024,Burnley,Portsmouth,2,1,4,2
21/09/2024,Cardiff,Leeds,0,2,2,7
21/09/2024,Coventry,Swansea,1,2,7,4
21/09/2024,Luton,Sheffield Weds,2,1,3,6
21/09/2024,Sheffield United,Derby,1,0,5,0
21/09/2024,West Brom,Plymouth,1,0,4,4
22/09/2024,Preston,Blackburn,0,0,5,3
27/09/2024,Plymouth,Luton,3,1,6,2
28/09/2024,Blackburn,QPR,2,0,12,1
28/09/2024,Derby,Norwich,2,3,5,5
28/09/2024,Sheffield Weds,West Brom,3,2,5,3
28/09/2024,Hull,Cardiff,4,1,9,5
28/09/2024,Leeds,Coventry,3,0,8,2
28/09/2024,Middlesbrough,Stoke,2,0,9,1
28/09/2024,Millwall,Preston,3,1,6,4
28/09/2024,Oxford,Burnley,0,0,1,1
28/09/2024,Portsmouth,Sheffield United,0,0,2,4
28/09/2024,Watford,Sunderland,2,1,5,5
29/09/2024,Swansea,Bristol City,1,1,2,6
01/10/2024,Burnley,Plymouth,1,0,3,0
01/10/2024,Cardiff,Millwall,1,0,5,5
01/10/2024,Coventry,Blackburn,3,0,8,3
01/10/2024,Luton,Oxford,2,2,4,8
01/10/2024,Norwich,Leeds,1,1,1,3
01/10/2024,QPR,Hull,1,3,7,6
01/10/2024,Sunderland,Derby,2,0,3,5
01/10/2024,West Brom,Middlesbrough,0,1,1,4
02/10/2024,Preston,Watford,3,0,6,6
02/10/2024,Sheffield United,Swansea,1,0,3,1
02/10/2024,Stoke,Portsmouth,6,1,8,2
02/10/2024,Bristol City,Sheffield Weds,0,0,2,1
04/10/2024,Sunderland,Leeds,2,2,4,4
05/10/2024,Burnley,Preston,0,0,1,2
05/10/2024,Norwich,Hull,4,0,9,5
05/10/2024,Portsmouth,Oxford,1,1,8,3
05/10/2024,Coventry,Sheffield Weds,1,2,2,5
05/10/2024,Derby,QPR,2,0,5,3
05/10/2024,Plymouth,Blackburn,2,1,7,4
05/10/2024,Sheffield United,Luton,2,0,7,2
05/10/2024,Swansea,Stoke,0,0,5,4
05/10/2024,Watford,Middlesbrough,2,1,4,5
05/10/2024,West Brom,Millwall,0,0,3,4
06/10/2024,Bristol City,Cardiff,1,1,2,2
18/10/2024,Leeds,Sheffield United,2,0,4,0
19/10/2024,Cardiff,Plymouth,5,0,11,2
19/10/2024,Luton,Watford,3,0,5,1
19/10/2024,Oxford,West Brom,1,1,3,3
19/10/2024,Preston,Coventry,1,0,3,1
19/10/2024,Blackburn,Swansea,1,0,3,2
19/10/2024,Middlesbrough,Bristol City,0,2,2,3
19/10/2024,Millwall,Derby,1,1,6,1
19/10/2024,QPR,Portsmouth,1,2,8,3
19/10/2024,Sheffield Weds,Burnley,0,2,3,6
19/10/2024,Stoke,Norwich,1,1,5,4
20/10/2024,Hull,Sunderland,0,1,0,2
22/10/2024,Cardiff,Portsmouth,2,0,10,2
22/10/2024,Leeds,Watford,2,1,7,3
22/10/2024,Oxford,Derby,1,1,3,4
22/10/2024,Preston,Norwich,2,2,2,3
22/10/2024,Sheffield Weds,Swansea,0,0,0,1
22/10/2024,Stoke,Bristol City,2,2,6,10
22/10/2024,QPR,Coventry,1,1,5,3
23/10/2024,Blackburn,West Brom,0,0,2,4
23/10/2024,Hull,Burnley,1,1,2,5
23/10/2024,Luton,Sunderland,1,2,4,5
23/10/2024,Millwall,Plymouth,1,0,6,2
23/10/2024,Middlesbrough,Sheffield United,1,0,6,5
25/10/2024,Portsmouth,Sheffield Weds,1,2,2,3
26/10/2024,Bristol City,Leeds,0,0,0,5
26/10/2024,Coventry,Luton,3,2,10,5
26/10/2024,Watford,Blackburn,1,0,1,2
26/10/2024,Burnley,QPR,0,0,4,0
26/10/2024,Derby,Hull,1,1,3,5
26/10/2024,Plymouth,Preston,3,3,6,8
26/10/2024,Sheffield United,Stoke,2,0,6,3
26/10/2024,Sunderland,Oxford,2,0,6,2
26/10/2024,Swansea,Millwall,0,1,5,2
26/10/2024,West Brom,Cardiff,0,0,4,0
27/10/2024,Norwich,Middlesbrough,3,3,3,8
01/11/2024,Luton,West Brom,1,1,5,3
02/11/2024,Blackburn,Sheffield United,0,2,0,9
02/11/2024,Oxford,Swansea,1,2,2,5
02/11/2024,Stoke,Derby,2,1,4,3
02/11/2024,Cardiff,Norwich,2,1,5,6
02/11/2024,Hull,Portsmouth,1,1,3,5
02/11/2024,Leeds,Plymouth,3,0,7,0
02/11/2024,Middlesbrough,Coventry,0,3,1,4
02/11/2024,Preston,Bristol City,1,3,2,3
02/11/2024,QPR,Sunderland,0,0,3,1
02/11/2024,Sheffield Weds,Watford,2,6,6,8
03/11/2024,Millwall,Burnley,1,0,3,0
05/11/2024,Bristol City,Sheffield United,1,2,2,4
05/11/2024,Oxford,Hull,1,0,2,2
05/11/2024,QPR,Middlesbrough,1,4,5,8
05/11/2024,Sheffield Weds,Norwich,2,0,5,3
05/11/2024,Plymouth,Portsmouth,1,0,4,4
05/11/2024,Swansea,Watford,1,0,3,0
06/11/2024,Blackburn,Stoke,0,2,8,7
06/11/2024,Coventry,Derby,1,2,3,1
06/11/2024,Millwall,Leeds,1,0,3,4
06/11/2024,Luton,Cardiff,1,0,3,3
06/11/2024,Preston,Sunderland,0,0,2,2
07/11/2024,West Brom,Burnley,0,0,1,4
08/11/2024,Watford,Oxford,1,0,8,3
09/11/2024,Cardiff,Blackburn,1,3,8,7
09/11/2024,Middlesbrough,Luton,5,1,6,3
09/11/2024,Stoke,Millwall,1,1,3,1
09/11/2024,Derby,Plymouth,1,1,4,2
09/11/2024,Leeds,QPR,2,0,6,0
09/11/2024,Norwich,Bristol City,0,2,3,2
09/11/2024,Portsmouth,Preston,3,1,6,1
09/11/2024,Sunderland,Coventry,2,2,5,3
10/11/2024,Sheffield United,Sheffield Weds,1,0,1,0
10/11/2024,Hull,West Brom,1,2,3,3
10/11/2024,Burnley,Swansea,1,0,7,4
22/11/2024,Plymouth,Watford,2,2,3,5
23/11/2024,Bristol City,Burnley,0,1,2,5
23/11/2024,Coventry,Sheffield United,2,2,6,2
23/11/2024,Sheffield Weds,Cardiff,1,1,3,4
23/11/2024,Luton,Hull,1,0,2,2
23/11/2024,Millwall,Sunderland,1,1,5,6
23/11/2024,Oxford,Middlesbrough,2,6,7,12
23/11/2024,Preston,Derby,1,1,3,1
23/11/2024,QPR,Stoke,1,1,5,5
23/11/2024,West Brom,Norwich,2,2,6,5
24/11/2024,Swansea,Leeds,3,4,5,4
26/11/2024,Burnley,Coventry,2,0,3,1
26/11/2024,Hull,Sheffield Weds,0,2,3,4
26/11/2024,Norwich,Plymouth,6,1,10,4
26/11/2024,Sheffield United,Oxford,3,0,8,3
26/11/2024,Stoke,Preston,0,0,1,3
26/11/2024,Watford,Bristol City,1,0,1,5
26/11/2024,Sunderland,West Brom,0,0,2,0
27/11/2024,Cardiff,QPR,0,2,7,5
27/11/2024,Leeds,Luton,3,0,11,4
27/11/2024,Middlesbrough,Blackburn,0,1,2,2
27/11/2024,Derby,Swansea,1,2,7,2
29/11/2024,Sheffield United,Sunderland,1,0,4,2
30/11/2024,Middlesbrough,Hull,3,1,9,3
30/11/2024,Oxford,Millwall,1,1,3,3
30/11/2024,Watford,QPR,0,0,6,1
30/11/2024,Blackburn,Leeds,1,0,2,5
30/11/2024,Bristol City,Plymouth,4,0,12,2
30/11/2024,Coventry,Cardiff,2,2,6,4
30/11/2024,Norwich,Luton,4,2,6,3
30/11/2024,Preston,West Brom,1,1,6,3
30/11/2024,Stoke,Burnley,0,2,5,4
30/11/2024,Swansea,Portsmouth,2,2,6,4
01/12/2024,Derby,Sheffield Weds,1,2,4,2
06/12/2024,Burnley,Middlesbrough,1,1,4,5
07/12/2024,Leeds,Derby,2,0,6,1
07/12/2024,Sheffield Weds,Preston,1,1,4,7
07/12/2024,Sunderland,Stoke,2,1,10,3
07/12/2024,Hull,Blackburn,0,1,6,1
07/12/2024,Luton,Swansea,1,1,2,10
07/12/2024,Millwall,Coventry,0,1,0,3
07/12/2024,Portsmouth,Bristol City,3,0,8,2
07/12/2024,QPR,Norwich,3,0,5,1
08/12/2024,West Brom,Sheffield United,2,2,4,5
10/12/2024,Burnley,Derby,0,0,4,1
10/12/2024,Luton,Stoke,2,1,8,4
10/12/2024,Plymouth,Swansea,1,2,2,2
10/12/2024,Portsmouth,Norwich,0,0,1,4
10/12/2024,Sheffield Weds,Blackburn,0,1,4,3
10/12/2024,Sunderland,Bristol City,1,1,5,2
10/12/2024,Leeds,Middlesbrough,3,1,5,2
11/12/2024,Cardiff,Preston,0,2,4,4
11/12/2024,Hull,Watford,1,1,4,2
11/12/2024,Millwall,Sheffield United,0,1,3,1
11/12/2024,QPR,Oxford,2,0,4,1
11/12/2024,West Brom,Coventry,2,0,2,4
13/12/2024,Derby,Portsmouth,4,0,7,0
14/12/2024,Bristol City,QPR,1,1,5,2
14/12/2024,Coventry,Hull,2,1,7,4
14/12/2024,Preston,Leeds,1,1,2,4
14/12/2024,Blackburn,Luton,2,0,6,4
