Date,HomeTeam,AwayTeam,FTHG,FTAG,HST,AST
04/08/2023,Sheffield Weds,Southampton,1,2,1,7
05/08/2023,Blackburn,West Brom,2,1,3,4
05/08/2023,Bristol City,Preston,1,1,2,3
05/08/2023,Middlesbrough,Millwall,0,1,2,2
05/08/2023,Norwich,Hull,2,1,5,3
05/08/2023,Plymouth,Huddersfield,3,1,7,3
05/08/2023,Stoke,Rotherham,4,1,6,3
05/08/2023,Swansea,Birmingham,1,1,6,5
05/08/2023,Watford,QPR,4,0,12,1
06/08/2023,Leicester,Coventry,2,1,7,6
06/08/2023,Leeds,Cardiff,2,2,6,2
06/08/2023,Sunderland,Ipswich,1,2,4,5
12/08/2023,Coventry,Middlesbrough,3,0,5,2
12/08/2023,Birmingham,Leeds,1,0,2,1
12/08/2023,Cardiff,QPR,1,2,4,3
12/08/2023,Huddersfield,Leicester,0,1,3,6
12/08/2023,Hull,Sheffield Weds,4,2,7,2
12/08/2023,Ipswich,Stoke,2,0,10,2
12/08/2023,Millwall,Bristol City,0,1,2,1
12/08/2023,Preston,Sunderland,2,1,2,4
12/08/2023,Rotherham,Blackburn,2,2,3,6
12/08/2023,Southampton,Norwich,4,4,11,6
12/08/2023,Watford,Plymouth,0,0,3,5
12/08/2023,West Brom,Swansea,3,2,3,4
18/08/2023,Leeds,West Brom,1,1,4,2
19/08/2023,Plymouth,Southampton,1,2,2,9
19/08/2023,Blackburn,Hull,1,2,3,5
19/08/2023,Bristol City,Birmingham,0,2,0,6
19/08/2023,Leicester,Cardiff,2,1,6,4
19/08/2023,Middlesbrough,Huddersfield,1,1,7,2
19/08/2023,QPR,Ipswich,0,1,4,3
19/08/2023,Sheffield Weds,Preston,0,1,3,2
19/08/2023,Stoke,Watford,1,0,2,3
19/08/2023,Sunderland,Rotherham,2,1,4,1
19/08/2023,Swansea,Coventry,1,1,3,2
20/08/2023,Norwich,Millwall,3,1,5,2
25/08/2023,Hull,Bristol City,1,1,9,5
26/08/2023,Birmingham,Plymouth,2,1,4,8
26/08/2023,Cardiff,Sheffield Weds,2,1,4,2
26/08/2023,Coventry,Sunderland,0,0,6,2
26/08/2023,Huddersfield,Norwich,0,4,5,5
26/08/2023,Ipswich,Leeds,3,4,6,9
26/08/2023,Millwall,Stoke,1,0,7,2
26/08/2023,Preston,Swansea,2,1,3,1
26/08/2023,Rotherham,Leicester,1,2,1,7
