Date,HomeTeam,AwayTeam,FTHG,FTAG,HST,AST
29/07/2022,Huddersfield,Burnley,0,1,0,7
30/07/2022,Blackburn,QPR,1,0,4,0
30/07/2022,Blackpool,Reading,1,0,5,3
30/07/2022,Cardiff,Norwich,1,0,2,1
30/07/2022,Hull,Bristol City,2,1,4,4
30/07/2022,Luton,Birmingham,0,0,4,3
30/07/2022,Millwall,Stoke,2,0,5,2
30/07/2022,Rotherham,Swansea,1,1,8,5
30/07/2022,Wigan,Preston,0,0,5,2
30/07/2022,Middlesbrough,West Brom,1,1,2,5
31/07/2022,Sunderland,Coventry,1,1,5,2
01/08/2022,Watford,Sheffield United,1,0,4,3
05/08/2022,Birmingham,Huddersfield,2,1,6,2
06/08/2022,Norwich,Wigan,1,1,4,3
06/08/2022,Bristol City,Sunderland,2,3,5,6
06/08/2022,Burnley,Luton,1,1,1,2
06/08/2022,Preston,Hull,0,0,6,1
06/08/2022,QPR,Middlesbrough,3,2,5,3
06/08/2022,Reading,Cardiff,2,1,2,2
06/08/2022,Sheffield United,Millwall,2,0,6,1
06/08/2022,Stoke,Blackpool,2,0,7,0
06/08/2022,Swansea,Blackburn,0,3,5,4
08/08/2022,West Brom,Watford,1,1,7,3
12/08/2022,Watford,Burnley,1,0,1,4
13/08/2022,Cardiff,Birmingham,1,0,7,0
13/08/2022,Blackpool,Swansea,0,1,4,5
13/08/2022,Huddersfield,Stoke,3,1,5,5
13/08/2022,Hull,Norwich,2,1,4,12
13/08/2022,Luton,Preston,0,1,2,5
13/08/2022,Millwall,Coventry,3,2,6,7
13/08/2022,Rotherham,Reading,4,0,4,6
13/08/2022,Sunderland,QPR,2,2,8,4
13/08/2022,Wigan,Bristol City,1,1,3,1
14/08/2022,Middlesbrough,Sheffield United,2,2,4,4
14/08/2022,Blackburn,West Brom,2,1,2,4
16/08/2022,Birmingham,Watford,1,1,4,2
16/08/2022,Bristol City,Luton,2,0,3,2
16/08/2022,Burnley,Hull,1,1,5,3
16/08/2022,Norwich,Huddersfield,2,1,9,5
16/08/2022,Preston,Rotherham,0,0,6,1
16/08/2022,Swansea,Millwall,2,2,9,1
16/08/2022,QPR,Blackpool,0,1,6,4
17/08/2022,Stoke,Middlesbrough,2,2,4,4
17/08/2022,Reading,Blackburn,3,0,7,1
17/08/2022,Sheffield United,Sunderland,2,1,7,2
17/08/2022,West Brom,Cardiff,0,0,5,0
19/08/2022,Norwich,Millwall,2,0,3,2
20/08/2022,Birmingham,Wigan,0,1,4,2
20/08/2022,Burnley,Blackpool,3,3,4,8
20/08/2022,Preston,Watford,0,0,4,2
20/08/2022,QPR,Rotherham,1,1,5,2
20/08/2022,Reading,Middlesbrough,1,0,3,3
20/08/2022,Sheffield United,Blackburn,3,0,11,0
20/08/2022,Stoke,Sunderland,0,1,3,2
20/08/2022,Swansea,Luton,0,2,2,5
20/08/2022,West Brom,Hull,5,2,7,5
21/08/2022,Bristol City,Cardiff,2,0,3,3
26/08/2022,Luton,Sheffield United,1,1,4,3
27/08/2022,Sunderland,Norwich,0,1,6,3
27/08/2022,Blackburn,Stoke,0,1,2,3
27/08/2022,Blackpool,Bristol City,3,3,4,4
27/08/2022,Cardiff,Preston,0,0,2,0
27/08/2022,Huddersfield,West Brom,2,2,3,6
27/08/2022,Hull,Coventry,3,2,4,6
27/08/2022,Middlesbrough,Swansea,2,1,3,4
27/08/2022,Millwall,Reading,0,1,1,2
27/08/2022,Rotherham,Birmingham,2,0,6,3
27/08/2022,Watford,QPR,2,3,5,5
27/08/2022,Wigan,Burnley,1,5,4,6
30/08/2022,Birmingham,Norwich,1,2,2,5
30/08/2022,Burnley,Millwall,2,0,10,5
30/08/2022,Cardiff,Luton,1,2,2,4
30/08/2022,QPR,Hull,3,1,7,3
30/08/2022,Sheffield United,Reading,4,0,7,0
30/08/2022,Wigan,West Brom,1,1,3,3
30/08/2022,Watford,Middlesbrough,2,1,4,3
31/08/2022,Bristol City,Huddersfield,2,0,7,4
31/08/2022,Coventry,Preston,0,1,4,4
31/08/2022,Stoke,Swansea,1,1,4,5
31/08/2022,Sunderland,Rotherham,3,0,3,3
31/08/2022,Blackpool,Blackburn,0,1,1,5
02/09/2022,West Brom,Burnley,1,1,8,4
03/09/2022,Blackburn,Bristol City,2,3,6,5
03/09/2022,Luton,Wigan,1,2,4,1
03/09/2022,Millwall,Cardiff,2,0,7,2
03/09/2022,Norwich,Coventry,3,0,7,1
03/09/2022,Preston,Birmingham,0,1,3,3
03/09/2022,Rotherham,Watford,1,1,3,2
03/09/2022,Swansea,QPR,1,0,4,3
04/09/2022,Reading,Stoke,2,1,3,3
04/09/2022,Huddersfield,Blackpool,0,1,6,2
04/09/2022,Hull,Sheffield United,0,2,3,5
05/09/2022,Middlesbrough,Sunderland,1,0,5,2
13/09/2022,Blackburn,Watford,2,0,6,2
13/09/2022,Huddersfield,Wigan,1,2,6,5
13/09/2022,Hull,Stoke,0,3,4,7
13/09/2022,Middlesbrough,Cardiff,2,3,2,4
13/09/2022,Swansea,Sheffield United,0,1,2,3
13/09/2022,Preston,Burnley,1,1,3,4
14/09/2022,Luton,Coventry,2,2,4,4
14/09/2022,Millwall,QPR,0,2,3,4
14/09/2022,Norwich,Bristol City,3,2,6,4
14/09/2022,Rotherham,Blackpool,3,0,4,1
14/09/2022,Reading,Sunderland,0,3,2,6
14/09/2022,West Brom,Birmingham,2,3,5,3
17/09/2022,Swansea,Hull,3,0,5,1
17/09/2022,Birmingham,Coventry,0,0,4,3
17/09/2022,Burnley,Bristol City,2,1,6,5
17/09/2022,Huddersfield,Cardiff,1,0,4,2
17/09/2022,Luton,Blackburn,2,0,4,1
17/09/2022,Millwall,Blackpool,2,1,6,2
17/09/2022,Norwich,West Brom,1,1,3,2
17/09/2022,Preston,Sheffield United,0,2,3,6
17/09/2022,QPR,Stoke,0,0,5,1
17/09/2022,Watford,Sunderland,2,2,4,5
17/09/2022,Wigan,Reading,0,1,0,2
17/09/2022,Middlesbrough,Rotherham,0,0,3,0
30/09/2022,Hull,Luton,0,2,0,5
01/10/2022,Blackburn,Millwall,2,1,4,2
