Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgCH,AvgCD,AvgCA
28/10/2023,Chelsea,Brentford,0,2,1.65,4.07,5.39
28/10/2023,Arsenal,Sheffield United,5,0,1.13,9.57,21.8
28/10/2023,Bournemouth,Burnley,2,1,2.17,3.58,3.35
28/10/2023,Wolves,Newcastle,2,2,4.22,3.84,1.85
29/10/2023,West Ham,Everton,0,1,2.07,3.69,3.5
29/10/2023,Aston Villa,Luton,3,1,1.34,5.71,8.49
29/10/2023,Brighton,Fulham,1,1,1.61,4.3,5.3
29/10/2023,Liverpool,Nott'm Forest,3,0,1.23,6.96,12.16
29/10/2023,Man United,Man City,0,3,5.48,4.25,1.62
04/11/2023,Fulham,Man United,0,1,3.0,3.56,2.36
04/11/2023,Brentford,West Ham,3,2,2.15,3.66,3.33
04/11/2023,Burnley,Crystal Palace,0,2,3.35,3.17,2.35
04/11/2023,Everton,Brighton,1,1,2.83,3.6,2.46
04/11/2023,Man City,Bournemouth,6,1,1.1,11.54,26.43
04/11/2023,Sheffield United,Wolves,2,1,4.12,3.68,1.91
04/11/2023,Newcastle,Arsenal,1,0,2.8,3.23,2.68
05/11/2023,Nott'm Forest,Aston Villa,2,0,3.91,3.75,1.94
05/11/2023,Luton,Liverpool,1,1,13.28,7.63,1.2
06/11/2023,Tottenham,Chelsea,1,4,2.32,3.63,3.04
11/11/2023,Wolves,Tottenham,2,1,3.14,3.53,2.3
11/11/2023,Arsenal,Burnley,3,1,1.2,7.07,16.18
11/11/2023,Crystal Palace,Everton,2,3,2.61,3.12,2.95
11/11/2023,Man United,Luton,1,0,1.29,5.95,9.95
11/11/2023,Bournemouth,Newcastle,2,0,3.97,3.71,1.93
12/11/2023,Aston Villa,Fulham,3,1,1.65,4.13,5.21
12/11/2023,Brighton,Sheffield United,1,1,1.27,6.18,10.88
12/11/2023,Liverpool,Brentford,3,0,1.38,5.42,7.57
12/11/2023,West Ham,Nott'm Forest,3,2,1.8,3.77,4.58
12/11/2023,Chelsea,Man City,4,4,4.65,3.92,1.77
25/11/2023,Man City,Liverpool,1,1,1.71,4.31,4.54
25/11/2023,Burnley,West Ham,1,2,3.43,3.43,2.18
25/11/2023,Luton,Crystal Palace,2,1,3.98,3.34,2.03
25/11/2023,Newcastle,Chelsea,4,1,2.68,3.54,2.59
25/11/2023,Nott'm Forest,Brighton,2,3,3.62,3.6,2.07
25/11/2023,Sheffield United,Bournemouth,1,3,3.41,3.49,2.19
25/11/2023,Brentford,Arsenal,0,1,5.73,4.06,1.61
26/11/2023,Tottenham,Aston Villa,1,2,2.63,3.76,2.56
26/11/2023,Everton,Man United,0,3,2.69,3.41,2.66
27/11/2023,Fulham,Wolves,3,2,2.4,3.29,3.11
02/12/2023,Arsenal,Wolves,2,1,1.24,6.36,13.17
02/12/2023,Brentford,Luton,3,1,1.53,4.39,6.34
02/12/2023,Burnley,Sheffield United,5,0,1.75,3.73,5.07
02/12/2023,Nott'm Forest,Everton,0,1,2.84,3.16,2.71
02/12/2023,Newcastle,Man United,1,0,2.0,3.76,3.68
03/12/2023,Bournemouth,Aston Villa,2,2,3.18,3.93,2.13
03/12/2023,Chelsea,Brighton,3,2,1.64,4.33,5.16
03/12/2023,Liverpool,Fulham,4,3,1.24,6.82,11.43
03/12/2023,West Ham,Crystal Palace,1,1,1.95,3.55,4.13
03/12/2023,Man City,Tottenham,3,3,1.25,6.97,10.56
05/12/2023,Wolves,Burnley,1,0,1.93,3.61,4.12
05/12/2023,Luton,Arsenal,3,4,16.38,7.06,1.2
06/12/2023,Brighton,Brentford,2,1,1.77,4.05,4.45
06/12/2023,Crystal Palace,Bournemouth,0,2,2.29,3.41,3.22
06/12/2023,Fulham,Nott'm Forest,5,0,2.01,3.43,3.94
06/12/2023,Sheffield United,Liverpool,0,2,14.76,7.96,1.19
06/12/2023,Aston Villa,Man City,1,0,5.19,4.25,1.65
06/12/2023,Man United,Chelsea,2,1,2.79,3.6,2.5
07/12/2023,Everton,Newcastle,3,0,3.17,3.45,2.31
07/12/2023,Tottenham,West Ham,1,2,1.68,4.29,4.79
09/12/2023,Crystal Palace,Liverpool,1,2,6.59,4.62,1.49
09/12/2023,Brighton,Burnley,1,1,1.53,4.5,6.2
09/12/2023,Man United,Bournemouth,0,3,1.66,4.41,4.74
09/12/2023,Sheffield United,Brentford,1,0,4.61,3.86,1.78
09/12/2023,Wolves,Nott'm Forest,1,1,1.92,3.37,4.53
09/12/2023,Aston Villa,Arsenal,1,0,3.62,3.72,2.03
10/12/2023,Everton,Chelsea,2,0,2.54,3.47,2.78
10/12/2023,Fulham,West Ham,5,0,2.22,3.54,3.26
10/12/2023,Luton,Man City,1,2,15.25,7.38,1.19
10/12/2023,Tottenham,Newcastle,4,1,2.08,3.88,3.34
15/12/2023,Nott'm Forest,Tottenham,0,2,5.06,4.17,1.66
16/12/2023,Chelsea,Sheffield United,2,0,1.2,7.63,14.35
16/12/2023,Man City,Crystal Palace,2,2,1.18,7.38,18.26
16/12/2023,Newcastle,Fulham,3,0,1.89,3.78,4.08
16/12/2023,Burnley,Everton,0,2,3.3,3.48,2.22
17/12/2023,Arsenal,Brighton,2,0,1.48,4.76,6.66
17/12/2023,Brentford,Aston Villa,1,2,3.18,3.46,2.29
17/12/2023,West Ham,Wolves,3,0,1.96,3.6,4.0
17/12/2023,Liverpool,Man United,0,0,1.35,5.88,7.97
21/12/2023,Crystal Palace,Brighton,1,1,3.24,3.33,2.3
22/12/2023,Aston Villa,Sheffield United,1,1,1.22,7.15,12.8
23/12/2023,West Ham,Man United,2,0,2.19,3.77,3.16
23/12/2023,Fulham,Burnley,0,2,1.71,3.86,5.06
23/12/2023,Luton,Newcastle,1,0,5.3,4.15,1.63
23/12/2023,Nott'm Forest,Bournemouth,2,3,2.86,3.45,2.49
23/12/2023,Tottenham,Everton,2,1,1.71,4.25,4.57
23/12/2023,Liverpool,Arsenal,1,1,2.47,3.63,2.79
24/12/2023,Wolves,Chelsea,2,1,3.26,3.65,2.17
26/12/2023,Newcastle,Nott'm Forest,1,3,1.41,4.95,7.64
26/12/2023,Bournemouth,Fulham,3,0,1.95,3.85,3.74
26/12/2023,Sheffield United,Luton,2,3,2.46,3.25,3.07
26/12/2023,Burnley,Liverpool,0,2,7.69,5.28,1.38
26/12/2023,Man United,Aston Villa,3,2,2.34,3.75,2.91
27/12/2023,Brentford,Wolves,1,4,2.22,3.41,3.39
27/12/2023,Chelsea,Crystal Palace,2,1,1.78,3.75,4.7
27/12/2023,Everton,Man City,1,3,5.65,4.02,1.62
28/12/2023,Brighton,Tottenham,4,2,2.5,3.82,2.65
28/12/2023,Arsenal,West Ham,0,2,1.3,5.97,10.13
30/12/2023,Luton,Chelsea,2,3,5.5,4.46,1.58
30/12/2023,Aston Villa,Burnley,3,2,1.4,5.17,7.55
30/12/2023,Crystal Palace,Brentford,3,1,2.12,3.29,3.78
30/12/2023,Man City,Sheffield United,2,0,1.08,12.46,30.83
30/12/2023,Wolves,Everton,3,0,2.88,3.26,2.6
30/12/2023,Nott'm Forest,Man United,2,1,3.25,3.64,2.18
31/12/2023,Fulham,Arsenal,2,1,5.92,4.22,1.58
31/12/2023,Tottenham,Bournemouth,3,1,1.76,4.49,3.98
01/01/2024,Liverpool,Newcastle,4,2,1.38,5.47,7.49
02/01/2024,West Ham,Brighton,0,0,3.03,3.63,2.3
12/01/2024,Burnley,Luton,1,1,2.15,3.46,3.5
13/01/2024,Chelsea,Fulham,1,0,1.64,4.16,5.26
13/01/2024,Newcastle,Man City,2,3,4.89,4.13,1.68
14/01/2024,Everton,Aston Villa,0,0,2.55,3.54,2.75
14/01/2024,Man United,Tottenham,2,2,2.04,3.97,3.34
20/01/2024,Arsenal,Crystal Palace,5,0,1.26,5.91,12.35
20/01/2024,Brentford,Nott'm Forest,3,2,1.78,3.8,4.66
21/01/2024,Sheffield United,West Ham,2,2,2.83,3.34,2.56
21/01/2024,Bournemouth,Liverpool,0,4,4.38,4.4,1.7
22/01/2024,Brighton,Wolves,0,0,1.66,4.16,5.0
30/01/2024,Nott'm Forest,Arsenal,1,2,8.78,5.04,1.38
30/01/2024,Fulham,Everton,0,0,2.25,3.27,3.46
30/01/2024,Luton,Brighton,4,0,4.22,4.03,1.8
30/01/2024,Crystal Palace,Sheffield United,3,2,1.61,3.95,6.02
30/01/2024,Aston Villa,Newcastle,1,3,1.88,4.02,3.89
31/01/2024,Man City,Burnley,3,1,1.11,10.59,22.43
31/01/2024,Tottenham,Brentford,3,2,1.63,4.46,4.97
31/01/2024,Liverpool,Chelsea,4,1,1.65,4.4,4.84
01/02/2024,West Ham,Bournemouth,1,1,2.42,3.58,2.85
01/02/2024,Wolves,Man United,3,4,2.92,3.5,2.43
03/02/2024,Everton,Tottenham,2,2,3.1,3.73,2.22
03/02/2024,Brighton,Crystal Palace,4,1,1.72,3.81,5.17
03/02/2024,Burnley,Fulham,2,2,2.91,3.31,2.54
03/02/2024,Newcastle,Luton,4,4,1.53,4.61,5.91
03/02/2024,Sheffield United,Aston Villa,0,5,5.17,4.27,1.64
04/02/2024,Bournemouth,Nott'm Forest,1,1,1.66,4.34,4.93
04/02/2024,Chelsea,Wolves,2,4,1.54,4.48,5.92
04/02/2024,Man United,West Ham,3,0,1.55,4.49,5.82
04/02/2024,Arsenal,Liverpool,3,1,2.21,3.65,3.2
05/02/2024,Brentford,Man City,1,3,7.9,5.41,1.37
10/02/2024,Man City,Everton,2,0,1.24,6.82,12.04
10/02/2024,Fulham,Bournemouth,3,1,2.56,3.53,2.75
10/02/2024,Liverpool,Burnley,3,1,1.16,8.52,16.31
10/02/2024,Luton,Sheffield United,1,3,1.71,3.98,4.87
10/02/2024,Tottenham,Brighton,2,1,1.74,4.51,4.09
10/02/2024,Wolves,Brentford,0,2,2.2,3.58,3.27
10/02/2024,Nott'm Forest,Newcastle,2,3,3.24,3.77,2.15
11/02/2024,West Ham,Arsenal,0,6,6.31,4.34,1.53
11/02/2024,Aston Villa,Man United,1,2,2.16,3.89,3.13
12/02/2024,Crystal Palace,Chelsea,1,3,4.91,3.97,1.71
17/02/2024,Brentford,Liverpool,1,4,4.82,4.4,1.65
17/02/2024,Burnley,Arsenal,0,5,10.38,5.94,1.29
17/02/2024,Fulham,Aston Villa,1,2,2.95,3.72,2.3
17/02/2024,Newcastle,Bournemouth,2,2,1.99,3.93,3.5
17/02/2024,Nott'm Forest,West Ham,2,0,2.27,3.52,3.17
17/02/2024,Tottenham,Wolves,1,2,1.52,4.89,5.57
17/02/2024,Man City,Chelsea,1,1,1.33,6.01,8.28
18/02/2024,Sheffield United,Brighton,0,5,4.81,4.25,1.68
18/02/2024,Luton,Man United,1,2,4.14,4.12,1.8
19/02/2024,Everton,Crystal Palace,1,1,1.81,3.49,4.98
20/02/2024,Man City,Brentford,1,0,1.19,7.81,14.24
21/02/2024,Liverpool,Luton,4,1,1.27,6.68,10.07
