Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgCH,AvgCD,AvgCA
16/08/2024,Man United,Fulham,1,0,1.66,4.2,5.02
17/08/2024,Ipswich,Liverpool,0,2,7.87,5.81,1.35
17/08/2024,Arsenal,Wolves,2,0,1.15,8.62,18.11
17/08/2024,Everton,Brighton,0,3,3.06,3.4,2.38
17/08/2024,Newcastle,Southampton,1,0,1.39,5.27,7.33
17/08/2024,Nott'm Forest,Bournemouth,1,1,2.25,3.44,3.23
17/08/2024,West Ham,Aston Villa,1,2,2.47,3.51,2.83
18/08/2024,Brentford,Crystal Palace,2,1,2.85,3.28,2.62
18/08/2024,Chelsea,Man City,0,2,3.64,3.83,1.98
19/08/2024,Leicester,Tottenham,1,1,4.57,4.23,1.71
24/08/2024,Brighton,Man United,2,1,2.41,3.72,2.81
24/08/2024,Crystal Palace,West Ham,0,2,1.98,3.78,3.72
24/08/2024,Fulham,Leicester,2,1,1.88,3.71,4.21
24/08/2024,Man City,Ipswich,4,1,1.09,11.44,27.5
24/08/2024,Southampton,Nott'm Forest,0,1,2.36,3.48,3.04
24/08/2024,Tottenham,Everton,4,0,1.37,5.39,7.91
24/08/2024,Aston Villa,Arsenal,0,2,4.66,4.02,1.74
25/08/2024,Bournemouth,Newcastle,1,1,2.57,3.65,2.64
25/08/2024,Wolves,Chelsea,2,6,3.89,3.89,1.91
25/08/2024,Liverpool,Brentford,2,0,1.22,7.19,11.82
31/08/2024,Arsenal,Brighton,1,1,1.37,5.37,8.0
31/08/2024,Brentford,Southampton,3,1,1.8,3.86,4.42
31/08/2024,Everton,Bournemouth,2,3,2.96,3.45,2.43
31/08/2024,Ipswich,Fulham,1,1,3.03,3.41,2.4
31/08/2024,Leicester,Aston Villa,1,2,4.0,3.76,1.91
31/08/2024,Nott'm Forest,Wolves,1,1,2.0,3.61,3.73
31/08/2024,West Ham,Man City,1,3,7.32,5.14,1.4
01/09/2024,Chelsea,Crystal Palace,1,1,1.65,4.3,4.97
01/09/2024,Newcastle,Tottenham,2,1,2.46,3.89,2.64
